"scale","level","subID","sub.gender","masc.femi","task"
"231",0.078795852729479,"fac_7",15,"male","masc","sti"
"232",-0.0142174894788393,"fac_7",16,"female","masc","sti"
"233",0.461482760462161,"fac_7",17,"female","masc","sti"
"234",0.0860834580144043,"fac_7",18,"female","masc","sti"
"235",0.286540105874181,"fac_7",19,"male","femi","fac"
"236",0.821116472790572,"fac_7",20,"male","femi","fac"
"237",0.431185916779642,"fac_7",21,"male","femi","fac"
"238",0.0626266906898274,"fac_7",22,"female","femi","fac"
"239",0.832055209825468,"fac_7",23,"female","femi","fac"
"240",0.0519643805105472,"fac_7",24,"female","femi","fac"
"241",0.00553849643357422,"fac_7",25,"male","femi","voi"
"242",0.404753489171355,"fac_7",26,"male","femi","voi"
"243",-0.164058869926443,"fac_7",27,"male","femi","voi"
"244",0.224170063639446,"fac_7",28,"female","femi","voi"
"245",0.138252091931838,"fac_7",29,"female","femi","voi"
"246",-0.0897637114984391,"fac_7",30,"female","femi","voi"
"247",0.84917923594438,"fac_7",31,"male","femi","sti"
"248",0.170354692831854,"fac_7",32,"male","femi","sti"
"249",0.323044597115081,"fac_7",33,"male","femi","sti"
"250",0.551013505861704,"fac_7",34,"female","femi","sti"
"251",0.534823233118336,"fac_7",35,"female","femi","sti"
"252",0.0476169297976647,"fac_7",36,"female","femi","sti"
"253",0.556855724054865,"fac_8",1,"male","masc","fac"
"254",0.243287387811744,"fac_8",2,"male","masc","fac"
"255",0.286337082426246,"fac_8",3,"male","masc","fac"
"256",0.112214552300364,"fac_8",4,"female","masc","fac"
"257",0.282423292930814,"fac_8",5,"female","masc","fac"
"258",0.662369394210727,"fac_8",6,"female","masc","fac"
"259",-0.253348471921944,"fac_8",7,"male","masc","voi"
"260",-0.111620490949223,"fac_8",8,"male","masc","voi"
"261",-0.222887922909514,"fac_8",9,"male","masc","voi"
"262",8.84068164980676e-06,"fac_8",10,"female","masc","voi"
"263",0.0426696343734224,"fac_8",11,"female","masc","voi"
"264",-0.00782247699351802,"fac_8",12,"female","masc","voi"
"265",0.537961128192893,"fac_8",13,"male","masc","sti"
"266",0.739070164974357,"fac_8",14,"male","masc","sti"
"267",0.126494695621094,"fac_8",15,"male","masc","sti"
"268",0.168257845965562,"fac_8",16,"female","masc","sti"
"269",0.64518910293363,"fac_8",17,"female","masc","sti"
"270",0.287278752584834,"fac_8",18,"female","masc","sti"
"271",0.501265427315293,"fac_8",19,"male","femi","fac"
"272",1.22180756407742,"fac_8",20,"male","femi","fac"
"273",0.581070147061814,"fac_8",21,"male","femi","fac"
"274",0.0981225646858308,"fac_8",22,"female","femi","fac"
"275",1.16761055911231,"fac_8",23,"female","femi","fac"
"276",0.183055132298642,"fac_8",24,"female","femi","fac"
"277",0.124226595785574,"fac_8",25,"male","femi","voi"
"278",0.381314802277949,"fac_8",26,"male","femi","voi"
"279",-0.409060245456208,"fac_8",27,"male","femi","voi"
"280",0.0487853458593723,"fac_8",28,"female","femi","voi"
"281",0.679022512078744,"fac_8",29,"female","femi","voi"
"282",0.384231159140085,"fac_8",30,"female","femi","voi"
"283",0.914356863735027,"fac_8",31,"male","femi","sti"
"284",0.0507985651431976,"fac_8",32,"male","femi","sti"
"285",0.347682507005277,"fac_8",33,"male","femi","sti"
"286",0.634846055188813,"fac_8",34,"female","femi","sti"
"287",0.244291139584605,"fac_8",35,"female","femi","sti"
"288",0.254495477850824,"fac_8",36,"female","femi","sti"
"289",0.562394728193952,"fac_9",1,"male","masc","fac"
"290",0.492259779384396,"fac_9",2,"male","masc","fac"
"291",0.451597038683623,"fac_9",3,"male","masc","fac"
"292",0.273478451838132,"fac_9",4,"female","masc","fac"
"293",0.799672181316411,"fac_9",5,"female","masc","fac"
